Título,Año,Calificación,Duración (min),Metascore,Actores principales
The Shawshank Redemption,1994,9.3,142,82,"Tim Robbins, Morgan Freeman, Bob Gunton"
The Godfather,1972,9.2,175,100,"Marlon Brando, Al Pacino, James Caan"
The Dark Knight,2008,9.0,152,85,"Christian Bale, Heath Ledger, Aaron Eckhart"
The Godfather Part II,1974,9.0,202,90,"Al Pacino, Robert De Niro, Robert Duvall"
12 Angry Men,1957,9.0,96,97,"Henry Fonda, Lee J. Cobb, Martin Balsam"
The Lord of the Rings: The Return of the King,2003,9.0,201,94,"Elijah Wood, Viggo Mortensen, Ian McKellen"
Schindler&apos;s List,1993,9.0,195,95,"Liam Neeson, Ralph Fiennes, Ben Kingsley"
Pulp Fiction,1994,8.8,154,95,"John Travolta, Uma Thurman, Samuel L. Jackson"
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,92,"Elijah Wood, Ian McKellen, Orlando Bloom"
"Il buono, il brutto, il cattivo",1966,8.8,178,90,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
Forrest Gump,1994,8.8,142,82,"Tom Hanks, Robin Wright, Gary Sinise"
The Lord of the Rings: The Two Towers,2002,8.8,179,87,"Elijah Wood, Ian McKellen, Viggo Mortensen"
Fight Club,1999,8.8,139,67,"Brad Pitt, Edward Norton, Meat Loaf"
Inception,2010,8.8,148,74,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,82,"Mark Hamill, Harrison Ford, Carrie Fisher"
The Matrix,1999,8.7,136,73,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
GoodFellas,1990,8.7,145,92,"Robert De Niro, Ray Liotta, Joe Pesci"
Interstellar,2014,8.7,169,74,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
One Flew Over the Cuckoo&apos;s Nest,1975,8.7,133,84,"Jack Nicholson, Louise Fletcher, Michael Berryman"
Se7en,1995,8.6,127,65,"Morgan Freeman, Brad Pitt, Kevin Spacey"
It&apos;s a Wonderful Life,1946,8.6,130,89,"James Stewart, Donna Reed, Lionel Barrymore"
The Silence of the Lambs,1991,8.6,118,86,"Jodie Foster, Anthony Hopkins, Scott Glenn"
Shichinin no samurai,1954,8.6,207,98,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima"
Saving Private Ryan,1998,8.6,169,91,"Tom Hanks, Matt Damon, Tom Sizemore"
The Green Mile,1999,8.6,189,61,"Tom Hanks, Michael Clarke Duncan, David Morse"
Cidade de Deus,2002,8.6,130,79,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
La vita è bella,1997,8.6,116,58,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini"
Terminator 2: Judgment Day,1991,8.6,137,75,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong"
Star Wars,1977,8.6,121,90,"Mark Hamill, Harrison Ford, Carrie Fisher"
Back to the Future,1985,8.5,116,87,"Michael J. Fox, Christopher Lloyd, Lea Thompson"
Sen to Chihiro no kamikakushi,2001,8.6,124,96,"Daveigh Chase, Suzanne Pleshette, Miyu Irino"
The Pianist,2002,8.5,150,85,"Adrien Brody, Thomas Kretschmann, Frank Finlay"
Gladiator,2000,8.5,155,67,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
Gisaengchung,2019,8.5,132,97,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong"
Psycho,1960,8.5,109,97,"Anthony Perkins, Janet Leigh, Vera Miles"
The Lion King,1994,8.5,88,88,"Matthew Broderick, Jeremy Irons, James Earl Jones"
Hotaru no haka,1988,8.5,88,94,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi"
The Departed,2006,8.5,151,85,"Leonardo DiCaprio, Matt Damon, Jack Nicholson"
Whiplash,2014,8.5,106,89,"Miles Teller, J.K. Simmons, Melissa Benoist"
Seppuku,1962,8.6,133,85,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita"
The Prestige,2006,8.5,130,66,"Christian Bale, Hugh Jackman, Scarlett Johansson"
American History X,1998,8.5,119,62,"Edward Norton, Edward Furlong, Beverly D'Angelo"
Léon,1994,8.5,110,64,"Jean Reno, Gary Oldman, Natalie Portman"
Spider-Man: Across the Spider-Verse,2023,8.5,140,86,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry"
Casablanca,1942,8.5,102,100,"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
The Usual Suspects,1995,8.5,106,76,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri"
Nuovo Cinema Paradiso,1988,8.5,174,80,"Philippe Noiret, Enzo Cannavale, Antonella Attili"
Intouchables,2011,8.5,112,57,"François Cluzet, Omar Sy, Anne Le Ny"
Alien,1979,8.5,117,89,"Sigourney Weaver, Tom Skerritt, John Hurt"
Modern Times,1936,8.5,87,96,"Charles Chaplin, Paulette Goddard, Henry Bergman"
